Processo,Exequente,Sindicato,Grupo,Status,Valor,Data
0001234-56.2023.5.01.0001,João Silva Santos,SINDICATO DOS METALÚRGICOS,Grupo A,Expedida,R$ 5.420,00,15/01/2023
0001235-56.2023.5.01.0001,Maria Oliveira Costa,SINDICATO DOS COMERCIÁRIOS,Grupo B,Depositada,R$ 8.750,00,20/01/2023
0001236-56.2023.5.01.0001,Pedro Henrique Souza,SINDICATO DOS BANCÁRIOS,Grupo A,Levantada,R$ 12.300,00,25/01/2023
0001237-56.2023.5.01.0001,Ana Paula Ferreira,SINDICATO DOS METALÚRGICOS,Grupo C,Expedida,R$ 6.890,00,02/02/2023
0001238-56.2023.5.01.0001,Carlos Eduardo Lima,SINDICATO DOS COMERCIÁRIOS,Grupo B,Depositada,R$ 9.450,00,10/02/2023
0001239-56.2023.5.01.0001,Juliana Martins Rocha,SINDICATO DOS PROFESSORES,Grupo D,Levantada,R$ 7.200,00,15/02/2023
0001240-56.2023.5.01.0001,Roberto Carlos Alves,SINDICATO DOS METALÚRGICOS,Grupo A,Expedida,R$ 11.500,00,20/02/2023
0001241-56.2023.5.01.0001,Fernanda Cristina Dias,SINDICATO DOS BANCÁRIOS,Grupo B,Depositada,R$ 13.800,00,25/02/2023
0001242-56.2023.5.01.0001,Ricardo Pereira Gomes,SINDICATO DOS COMERCIÁRIOS,Grupo C,Levantada,R$ 5.670,00,05/03/2023
0001243-56.2023.5.01.0001,Patrícia Helena Cardoso,SINDICATO DOS METALÚRGICOS,Grupo A,Expedida,R$ 8.920,00,12/03/2023
0001244-56.2023.5.01.0001,Marcos Antonio Ribeiro,SINDICATO DOS PROFESSORES,Grupo D,Depositada,R$ 10.450,00,18/03/2023
0001245-56.2023.5.01.0001,Luciana Aparecida Santos,SINDICATO DOS BANCÁRIOS,Grupo B,Levantada,R$ 14.200,00,25/03/2023
0001246-56.2023.5.01.0001,Anderson Luiz Barbosa,SINDICATO DOS COMERCIÁRIOS,Grupo C,Expedida,R$ 7.340,00,02/04/2023
0001247-56.2023.5.01.0001,Cristiane Maria Sousa,SINDICATO DOS METALÚRGICOS,Grupo A,Depositada,R$ 9.180,00,10/04/2023
0001248-56.2023.5.01.0001,Felipe Augusto Nunes,SINDICATO DOS PROFESSORES,Grupo D,Levantada,R$ 11.670,00,15/04/2023
0001249-56.2023.5.01.0001,Vanessa Rodrigues Costa,SINDICATO DOS BANCÁRIOS,Grupo B,Expedida,R$ 12.890,00,22/04/2023
0001250-56.2023.5.01.0001,Diego Henrique Moreira,SINDICATO DOS COMERCIÁRIOS,Grupo C,Depositada,R$ 6.540,00,28/04/2023
0001251-56.2023.5.01.0001,Gabriela Cristina Araujo,SINDICATO DOS METALÚRGICOS,Grupo A,Levantada,R$ 8.760,00,05/05/2023
0001252-56.2023.5.01.0001,Bruno Fernando Teixeira,SINDICATO DOS PROFESSORES,Grupo D,Expedida,R$ 10.230,00,12/05/2023
0001253-56.2023.5.01.0001,Renata Silveira Campos,SINDICATO DOS BANCÁRIOS,Grupo B,Depositada,R$ 13.450,00,18/05/2023
0001254-56.2023.5.01.0001,Thiago José Cavalcanti,SINDICATO DOS COMERCIÁRIOS,Grupo C,Levantada,R$ 7.890,00,25/05/2023
0001255-56.2023.5.01.0001,Amanda Vitória Mendes,SINDICATO DOS METALÚRGICOS,Grupo A,Expedida,R$ 9.320,00,02/06/2023
0001256-56.2023.5.01.0001,Rafael Gonçalves Correia,SINDICATO DOS PROFESSORES,Grupo D,Depositada,R$ 11.120,00,10/06/2023
0001257-56.2023.5.01.0001,Tatiana Melo Freitas,SINDICATO DOS BANCÁRIOS,Grupo B,Levantada,R$ 14.670,00,15/06/2023
0001258-56.2023.5.01.0001,Rodrigo Cesar Pinto,SINDICATO DOS COMERCIÁRIOS,Grupo C,Expedida,R$ 6.780,00,22/06/2023
0001259-56.2023.5.01.0001,Carolina Fernandes Lopes,SINDICATO DOS METALÚRGICOS,Grupo A,Depositada,R$ 8.450,00,28/06/2023
0001260-56.2023.5.01.0001,Gustavo Henrique Miranda,SINDICATO DOS PROFESSORES,Grupo D,Levantada,R$ 10.890,00,05/07/2023
0001261-56.2023.5.01.0001,Mariana Paula Rezende,SINDICATO DOS BANCÁRIOS,Grupo B,Expedida,R$ 12.560,00,12/07/2023
0001262-56.2023.5.01.0001,Leonardo Dias Monteiro,SINDICATO DOS COMERCIÁRIOS,Grupo C,Depositada,R$ 7.230,00,18/07/2023
0001263-56.2023.5.01.0001,Bianca Rodrigues Vieira,SINDICATO DOS METALÚRGICOS,Grupo A,Levantada,R$ 9.780,00,25/07/2023
